dataset,model,defender,latency,tokens,full_compliance,full_refusal,partial_refusal
xstest_v2_completions,qwen,Retokenization,5.28,234.00,63.10,31.43,5.48
xstest_v2_completions,qwen,Self-Exam,5.17,234.14,52.09,44.42,3.49
xstest_v2_completions,qwen,selfdefend,0.80,36.80,14.58,85.42,0.00
xstest_v2_completions,qwen,llamaguard,4.39,398.67,54.63,43.17,2.20
xstest_v2_completions,deepseek,PPL,9.08,170.02,44.92,51.24,3.84
xstest_v2_completions,deepseek,ICD,9.90,187.58,55.53,42.89,1.58
xstest_v2_completions,deepseek,Retokenization,14.70,276.79,61.19,28.31,10.50
xstest_v2_completions,gemma,Paraphrase,12.57,236.78,58.24,29.12,12.64
xstest_v2_completions,gemma,ICD,7.71,142.93,50.78,42.51,6.71
xstest_v2_completions,llama3,Retokenization,23.97,1025.23,62.42,18.34,19.24
xstest_v2_completions,llama3,PPL,21.64,925.44,69.66,16.40,13.93
xstest_v2_completions,gemma,Retokenization,10.10,191.05,47.19,38.20,14.61
xstest_v2_completions,deepseek,Paraphrase,13.88,260.95,56.32,38.62,5.06
xstest_v2_completions,qwen,Paraphrase,5.55,256.55,60.92,35.40,3.68
xstest_v2_completions,qwen,ICD,4.63,207.42,63.53,32.94,3.53
xstest_v2_completions,gemma,PPL,9.43,173.49,46.07,43.37,10.56
xstest_v2_completions,qwen,PPL,4.50,203.46,50.57,45.98,3.45
